round,sample_id,gt,llm_label_raw,llm_label,confidence,parse_ok,agreement,error_type,prompt_tokens,completion_tokens,latency_ms,phishing_type,source
1,4446,0,benign,0,0.99,1,1,,4160,352,4964.801335998345,legitimate,llm
1,4967,0,benign,0,0.99,1,1,,3592,441,7931.729408010142,legitimate,llm
1,2710,0,benign,0,0.98,1,1,,3157,464,4076.7770090023987,legitimate,llm
1,4031,0,benign,0,0.95,1,1,,4071,311,2674.0298320073634,legitimate,llm
1,4337,0,benign,0,0.99,1,1,,3579,328,4302.814358990872,legitimate,llm
1,3706,0,benign,0,0.99,1,1,,3722,311,2838.2665179960895,legitimate,llm
1,3208,0,benign,0,0.99,1,1,,4027,361,6752.392527007032,legitimate,llm
1,3336,0,benign,0,0.99,1,1,,3185,477,8501.211132999742,legitimate,llm
1,4318,0,benign,0,0.95,1,1,,3932,324,6835.204191011144,legitimate,llm
1,4141,0,benign,0,0.99,1,1,,3471,322,4116.873613995267,legitimate,llm
1,4306,0,benign,0,0.95,1,1,,3561,306,2917.8364899998996,legitimate,llm
1,2585,0,benign,0,0.99,1,1,,3631,480,6326.805290009361,legitimate,llm
1,2792,0,benign,0,0.99,1,1,,3900,295,3482.701723027276,legitimate,llm
1,3024,0,benign,0,0.99,1,1,,3477,398,4535.100175009575,legitimate,llm
1,3113,0,benign,0,0.99,1,1,,3752,433,4534.258219995536,legitimate,llm
1,3939,0,benign,0,0.99,1,1,,3547,328,3270.507619017735,legitimate,llm
1,3080,0,benign,0,0.99,1,1,,3524,357,3416.3842650013976,legitimate,llm
1,3828,0,benign,0,0.99,1,1,,3515,399,7939.807315997314,legitimate,llm
1,3540,0,benign,0,0.99,1,1,,3869,424,4688.261887000408,legitimate,llm
1,3577,0,benign,0,0.99,1,1,,3720,563,8338.100395980291,legitimate,llm
1,2886,0,benign,0,0.99,1,1,,3656,397,5473.65535699646,legitimate,llm
1,3154,0,benign,0,0.99,1,1,,3631,339,4168.024044978665,legitimate,llm
1,3821,0,benign,0,0.98,1,1,,3153,397,3687.4034279899206,legitimate,llm
1,2694,0,benign,0,0.99,1,1,,3412,368,8043.520670005819,legitimate,llm
1,4884,0,benign,0,0.95,1,1,,3063,396,4595.413179980824,legitimate,llm
2,2646,0,benign,0,0.99,1,1,,4920,416,4279.476508992957,legitimate,llm
2,4676,0,benign,0,0.98,1,1,,3408,486,5417.045380017953,legitimate,llm
2,2796,0,benign,0,0.99,1,1,,3812,444,5765.345955995144,legitimate,llm
2,3401,0,benign,0,0.98,1,1,,3497,313,4647.575773997232,legitimate,llm
2,3151,0,benign,0,0.99,1,1,,3481,312,3237.079345009988,legitimate,llm
2,4229,0,benign,0,0.99,1,1,,3087,398,5289.1400649969,legitimate,llm
2,4883,0,benign,0,0.99,1,1,,3459,408,5372.998098988319,legitimate,llm
2,4989,0,benign,0,0.95,1,1,,3849,347,4185.047986014979,legitimate,llm
2,3429,0,benign,0,0.95,1,1,,5051,417,10920.633354980964,legitimate,llm
2,568,1,benign,0,0.99,1,0,FN,3905,354,9216.978787997505,legitimate,llm
2,1520,1,benign,0,0.98,1,0,FN,3899,414,3365.512732998468,legitimate,llm
2,1430,1,benign,0,0.98,1,0,FN,3898,344,2704.2874670005403,legitimate,llm
2,2932,0,benign,0,0.95,1,1,,3408,431,3020.8386440062895,legitimate,llm
2,2665,0,benign,0,0.99,1,1,,4069,340,3118.1047900172416,legitimate,llm
2,4807,0,benign,0,0.99,1,1,,3205,406,2975.3476749756373,legitimate,llm
2,4083,0,benign,0,0.99,1,1,,4050,442,3510.996767989127,legitimate,llm
2,4219,0,benign,0,0.99,1,1,,3837,450,7101.693354983581,legitimate,llm
2,2742,0,benign,0,0.95,1,1,,4117,412,3574.644651002018,legitimate,llm
2,3093,0,benign,0,0.99,1,1,,3453,370,2987.2033889987506,legitimate,llm
2,3480,0,benign,0,0.99,1,1,,4108,365,7891.832363995491,legitimate,llm
2,4942,0,benign,0,0.99,1,1,,3241,350,5385.352891986258,legitimate,llm
2,1254,1,benign,0,0.95,1,0,FN,3191,494,4086.57861201209,legitimate,llm
2,1038,1,phish,1,0.92,1,1,,3385,454,4585.71360699716,brand_impersonation,llm
2,1694,1,phish,1,0.85,1,1,,3367,422,7152.553991996683,scam,llm
2,4589,0,benign,0,0.98,1,1,,2864,301,3189.1506999963894,legitimate,llm
2,2872,0,benign,0,0.99,1,1,,3426,316,2788.0942600022536,legitimate,llm
2,3509,0,benign,0,0.99,1,1,,3684,394,6204.871966998326,legitimate,llm
2,2780,0,benign,0,0.97,1,1,,4465,553,5941.807803988922,legitimate,llm
2,3686,0,benign,0,0.99,1,1,,3436,314,3315.710731985746,legitimate,llm
2,4416,0,benign,0,0.99,1,1,,4137,356,5493.41004199232,legitimate,llm
2,2627,0,benign,0,0.99,1,1,,3141,284,3259.095924004214,legitimate,llm
2,4133,0,benign,0,0.99,1,1,,4157,399,5645.841124991421,legitimate,llm
2,2758,0,benign,0,0.99,1,1,,3939,304,5750.065469008405,legitimate,llm
2,2557,0,benign,0,0.99,1,1,,3583,365,4129.2799139919225,legitimate,llm
2,4881,0,benign,0,0.99,1,1,,3673,471,10299.460715992609,legitimate,llm
2,3750,0,benign,0,0.95,1,1,,3705,474,11130.654376000166,legitimate,llm
2,4697,0,benign,0,0.99,1,1,,3742,359,7629.541080008494,legitimate,llm
2,3537,0,benign,0,0.99,1,1,,3998,321,3609.4355870154686,legitimate,llm
2,2955,0,benign,0,0.99,1,1,,3346,303,3254.888941999525,legitimate,llm
2,4928,0,benign,0,0.99,1,1,,3727,441,4632.981175003806,legitimate,llm
2,3220,0,benign,0,0.98,1,1,,3544,293,3256.128260982223,legitimate,llm
2,3814,0,benign,0,0.99,1,1,,3095,301,2854.194854007801,legitimate,llm
2,4122,0,benign,0,0.98,1,1,,3272,390,4400.854061008431,legitimate,llm
2,4716,0,benign,0,0.99,1,1,,3060,368,5610.102316975826,legitimate,llm
2,4251,0,benign,0,0.99,1,1,,3672,400,4264.403750014026,legitimate,llm
2,3364,0,benign,0,0.98,1,1,,3192,346,3552.6879240060225,legitimate,llm
2,3525,0,benign,0,0.99,1,1,,3002,479,5822.851929988246,legitimate,llm
2,4065,0,benign,0,0.98,1,1,,3259,368,3566.5762459975667,legitimate,llm
2,3773,0,benign,0,0.98,1,1,,3754,561,5522.089425008744,legitimate,llm
2,4920,0,benign,0,0.99,1,1,,3627,373,5192.402428976493,legitimate,llm
3,4759,0,benign,0,0.99,1,1,,3624,339,5348.795235011494,legitimate,llm
3,4502,0,benign,0,0.99,1,1,,3255,312,5133.148452005116,legitimate,llm
3,3245,0,benign,0,0.98,1,1,,3383,379,5210.567875008564,legitimate,llm
3,2660,0,benign,0,0.99,1,1,,4111,489,7839.876476995414,legitimate,llm
3,4587,0,benign,0,0.99,1,1,,4492,441,5451.672963012243,legitimate,llm
3,4506,0,benign,0,0.99,1,1,,3794,382,4559.171490982408,legitimate,llm
3,2933,0,benign,0,0.98,1,1,,3306,349,2718.5887590167113,legitimate,llm
3,2666,0,benign,0,0.99,1,1,,4068,399,5588.438036997104,legitimate,llm
3,3529,0,,,,0,,,,,1665.5749040073715,,llm
3,4508,0,benign,0,0.99,1,1,,3303,306,3485.116872994695,legitimate,llm
3,3854,0,benign,0,0.99,1,1,,3437,402,4104.502111993497,legitimate,llm
3,4097,0,benign,0,0.99,1,1,,3772,444,8160.549741005525,legitimate,llm
3,3197,0,benign,0,0.99,1,1,,3457,440,6326.23402599711,legitimate,llm
3,2635,0,benign,0,0.99,1,1,,3248,385,3994.608066015644,legitimate,llm
3,2816,0,benign,0,0.95,1,1,,2909,408,7340.343143994687,legitimate,llm
3,3651,0,benign,0,0.98,1,1,,3788,467,4882.615732989507,legitimate,llm
3,3982,0,benign,0,0.99,1,1,,3407,322,4848.03956001997,legitimate,llm
3,2604,0,benign,0,0.99,1,1,,3577,315,4202.328520012088,legitimate,llm
3,4764,0,benign,0,0.99,1,1,,4239,321,4372.254387009889,legitimate,llm
3,2883,0,benign,0,0.99,1,1,,4178,409,8528.08473201003,legitimate,llm
3,4528,0,benign,0,0.95,1,1,,3369,448,4624.914199026534,legitimate,llm
3,2896,0,benign,0,0.99,1,1,,3190,380,4020.2479700092226,legitimate,llm
3,3481,0,benign,0,0.99,1,1,,3664,337,2688.138697994873,legitimate,llm
3,2547,0,benign,0,0.99,1,1,,3905,348,7139.731019997271,legitimate,llm
3,4564,0,benign,0,0.99,1,1,,3722,310,6202.329911000561,legitimate,llm
3,4457,0,benign,0,0.98,1,1,,3916,404,6576.370296999812,legitimate,llm
3,4865,0,benign,0,0.99,1,1,,3505,408,8194.823014986468,legitimate,llm
3,4527,0,benign,0,0.98,1,1,,4216,449,9309.66798501322,legitimate,llm
3,4290,0,benign,0,0.99,1,1,,3437,467,6087.824187998194,legitimate,llm
3,3466,0,benign,0,0.99,1,1,,3433,391,5149.172190984245,legitimate,llm
3,2991,0,benign,0,0.99,1,1,,3258,436,5726.0096480022185,legitimate,llm
3,3873,0,benign,0,0.99,1,1,,3175,304,2637.4934439954814,legitimate,llm
3,3761,0,benign,0,0.99,1,1,,3089,303,4289.033292006934,legitimate,llm
3,2760,0,benign,0,0.99,1,1,,3169,337,2909.6704380062874,legitimate,llm
3,4315,0,benign,0,0.98,1,1,,3091,356,9440.457795979455,legitimate,llm
3,2586,0,benign,0,0.99,1,1,,3272,521,9973.375624016626,legitimate,llm
3,4677,0,benign,0,0.99,1,1,,3327,472,6379.731192020699,legitimate,llm
3,3053,0,benign,0,0.99,1,1,,3241,390,7120.731269998942,legitimate,llm
3,3796,0,benign,0,0.99,1,1,,3471,377,8045.644617988728,legitimate,llm
3,4814,0,benign,0,0.99,1,1,,3664,295,3818.2739290059544,legitimate,llm
3,3247,0,benign,0,0.98,1,1,,3673,441,9876.397437008563,legitimate,llm
3,4955,0,benign,0,0.99,1,1,,3066,439,4973.775609978475,legitimate,llm
3,4084,0,benign,0,0.95,1,1,,3221,395,5606.895167991752,legitimate,llm
3,4171,0,benign,0,0.99,1,1,,3757,493,4864.670303009916,legitimate,llm
3,3254,0,benign,0,0.95,1,1,,3206,319,7526.565935986582,legitimate,llm
3,477,1,benign,0,0.99,1,0,FN,3520,574,6895.636002009269,legitimate,llm
3,4327,0,benign,0,0.99,1,1,,3472,312,3337.386430997867,legitimate,llm
3,3143,0,benign,0,0.99,1,1,,2983,286,4736.250339017715,legitimate,llm
3,3954,0,benign,0,0.98,1,1,,3242,357,5639.299195987405,legitimate,llm
3,2881,0,benign,0,0.99,1,1,,3157,463,13618.846464989474,legitimate,llm
4,4768,0,benign,0,0.99,1,1,,4855,388,96303.37965500075,legitimate,llm
4,4282,0,benign,0,0.99,1,1,,3459,309,16079.211083007976,legitimate,llm
4,4499,0,benign,0,0.98,1,1,,4004,413,6112.7411689958535,legitimate,llm
4,2431,1,phish,1,0.99,1,1,,2552,430,6344.800446007866,credential_harvesting,llm
4,2976,0,benign,0,0.99,1,1,,3803,324,4747.876804991392,legitimate,llm
4,4406,0,benign,0,0.99,1,1,,3549,559,6803.119231015444,legitimate,llm
4,4383,0,benign,0,0.99,1,1,,3461,390,3884.8006970074493,legitimate,llm
4,4778,0,benign,0,0.99,1,1,,3662,431,5344.381926988717,legitimate,llm
4,3733,0,benign,0,0.99,1,1,,3509,401,3227.1787780045997,legitimate,llm
4,4174,0,benign,0,0.99,1,1,,3527,482,4647.54981599981,legitimate,llm
4,2740,0,benign,0,0.99,1,1,,4363,345,2446.5666599862743,legitimate,llm
4,4897,0,benign,0,0.99,1,1,,3450,332,3276.247389992932,legitimate,llm
4,2762,0,benign,0,0.99,1,1,,3466,388,2629.8515040252823,legitimate,llm
4,3928,0,benign,0,0.99,1,1,,4131,386,9156.919418019243,legitimate,llm
4,4783,0,benign,0,0.99,1,1,,3299,304,7714.429196988931,legitimate,llm
4,3783,0,benign,0,0.95,1,1,,3332,402,7257.159807981225,legitimate,llm
4,3966,0,benign,0,0.99,1,1,,4235,451,7230.268741986947,legitimate,llm
4,2711,0,benign,0,0.99,1,1,,3610,418,4712.658189993817,legitimate,llm
4,2912,0,benign,0,0.99,1,1,,3338,353,3720.8076850220095,legitimate,llm
4,4852,0,benign,0,0.98,1,1,,3755,342,3331.7310599959455,legitimate,llm
4,4366,0,benign,0,0.99,1,1,,3746,397,3196.5477599878795,legitimate,llm
4,2875,0,benign,0,0.95,1,1,,3679,440,10537.621921976097,legitimate,llm
4,3646,0,benign,0,0.99,1,1,,3537,392,9881.980320991715,legitimate,llm
4,2785,0,benign,0,0.99,1,1,,3732,366,3728.5569090163335,legitimate,llm
4,3590,0,benign,0,0.99,1,1,,3508,489,5747.08637400181,legitimate,llm
4,3116,0,benign,0,0.99,1,1,,3231,303,2294.6555119997356,legitimate,llm
4,4256,0,benign,0,0.99,1,1,,3693,273,2223.1087340041995,legitimate,llm
4,4644,0,benign,0,0.99,1,1,,3584,479,7202.733101992635,legitimate,llm
4,4037,0,benign,0,0.95,1,1,,3393,357,12310.734163009329,legitimate,llm
4,3369,0,benign,0,0.99,1,1,,3533,439,12949.711697001476,legitimate,llm
4,4863,0,benign,0,0.99,1,1,,3782,291,4132.263047999004,legitimate,llm
4,3875,0,benign,0,0.98,1,1,,3672,522,8503.934931010008,legitimate,llm
4,3207,0,benign,0,0.99,1,1,,3506,431,2830.7159949908964,legitimate,llm
4,2774,0,phish,1,0.92,1,0,FP,4736,387,5170.407765981508,credential_harvesting,llm
4,3729,0,benign,0,0.98,1,1,,3688,425,7797.012413007906,legitimate,
4,3068,0,benign,0,0.99,1,1,,3659,414,3342.8918109857477,legitimate,llm
4,4803,0,benign,0,0.99,1,1,,3525,498,4686.3210479787085,legitimate,llm
4,563,1,benign,0,0.95,1,0,FN,3880,349,2614.399655984016,legitimate,llm
4,3137,0,benign,0,0.99,1,1,,3586,452,5352.461181988474,legitimate,llm
4,2509,0,benign,0,0.99,1,1,,4390,324,2344.319538999116,legitimate,llm
4,4754,0,benign,0,0.95,1,1,,3255,391,38784.28639101912,legitimate,llm
4,3849,0,benign,0,0.99,1,1,,3719,365,4350.478670996381,legitimate,llm
4,1359,1,benign,0,0.99,1,0,FN,3976,321,3223.198145016795,legitimate,llm
4,3765,0,benign,0,0.99,1,1,,3394,431,5723.96317901439,legitimate,llm
4,2695,0,benign,0,0.95,1,1,,3204,387,3044.2968159914017,legitimate,llm
4,3004,0,benign,0,0.98,1,1,,3191,358,9389.40195000032,legitimate,llm
4,2631,0,benign,0,0.99,1,1,,3688,379,10724.952721997397,legitimate,llm
4,2847,0,benign,0,0.98,1,1,,3976,446,8007.761949003907,legitimate,llm
4,2697,0,benign,0,0.99,1,1,,3354,400,6039.8298839863855,legitimate,llm
4,4959,0,benign,0,0.98,1,1,,3451,415,2985.8761460054666,legitimate,llm
5,3437,0,benign,0,0.85,1,1,,4206,387,9133.372320007766,legitimate,llm
5,2667,0,benign,0,0.95,1,1,,3366,362,3535.9896330046467,legitimate,llm
5,4082,0,benign,0,0.99,1,1,,3665,347,6808.863163983915,legitimate,llm
5,3251,0,benign,0,0.95,1,1,,3681,487,10219.224559987197,legitimate,llm
5,3037,0,benign,0,0.99,1,1,,3184,393,4600.281708990224,legitimate,llm
5,4237,0,benign,0,0.98,1,1,,3570,374,4561.778984992998,legitimate,llm
5,3132,0,benign,0,0.95,1,1,,4004,347,3966.582461987855,legitimate,llm
5,3641,0,benign,0,0.98,1,1,,3368,442,11666.38846398564,legitimate,llm
5,3283,0,benign,0,0.98,1,1,,3367,500,11662.951634993078,legitimate,llm
5,3025,0,benign,0,0.98,1,1,,3580,425,10074.556560983183,legitimate,llm
5,4177,0,benign,0,0.99,1,1,,4243,327,7978.079594991868,legitimate,llm
5,2609,0,benign,0,0.98,1,1,,3275,338,3662.393267004518,legitimate,llm
5,2960,0,benign,0,0.99,1,1,,3696,391,4709.679776016856,legitimate,llm
5,4866,0,benign,0,0.98,1,1,,3745,311,3100.3319429873955,legitimate,llm
5,3366,0,benign,0,0.99,1,1,,3789,398,4259.247079025954,legitimate,llm
5,2807,0,benign,0,0.99,1,1,,3302,510,5912.2681799926795,legitimate,llm
5,4222,0,benign,0,0.99,1,1,,3399,288,4269.248034019256,legitimate,llm
5,4919,0,benign,0,0.95,1,1,,3284,391,5015.652822010452,legitimate,llm
5,3845,0,benign,0,0.99,1,1,,3355,352,4617.27051998605,legitimate,llm
5,3827,0,benign,0,0.99,1,1,,3012,321,7960.6355339929,legitimate,llm
5,3192,0,benign,0,0.99,1,1,,3419,461,8840.537743002642,legitimate,llm
5,4077,0,benign,0,0.99,1,1,,3404,496,8277.945599984378,legitimate,llm
5,3210,0,benign,0,0.99,1,1,,3438,329,6559.136360010598,legitimate,llm
5,3103,0,benign,0,0.99,1,1,,3481,364,4261.370674998034,legitimate,llm
5,4079,0,benign,0,0.99,1,1,,3893,512,10510.724088991992,legitimate,llm
5,2947,0,benign,0,0.99,1,1,,4155,313,13190.842401003465,legitimate,llm
5,3838,0,benign,0,0.99,1,1,,3455,389,4172.625378007069,legitimate,llm
5,4201,0,benign,0,0.99,1,1,,3906,307,2706.558578996919,legitimate,llm
5,3275,0,benign,0,0.95,1,1,,3356,402,5629.734045010991,legitimate,llm
5,3699,0,benign,0,0.99,1,1,,3467,308,3889.5235790114384,legitimate,llm
5,3360,0,benign,0,0.99,1,1,,4085,421,5449.206317978678,legitimate,llm
5,4889,0,benign,0,0.99,1,1,,3818,382,4419.5087070111185,legitimate,llm
5,4649,0,benign,0,0.99,1,1,,3434,472,40512.74536101846,legitimate,llm
5,3448,0,benign,0,0.99,1,1,,3331,361,5964.673007983947,legitimate,llm
5,4862,0,benign,0,0.99,1,1,,3566,304,3556.878520990722,legitimate,llm
5,2565,0,benign,0,0.99,1,1,,4008,313,38199.71095002256,legitimate,llm
5,4447,0,benign,0,0.99,1,1,,3664,418,11269.617016019765,legitimate,llm
5,2643,0,benign,0,0.99,1,1,,4071,444,9405.538402992534,legitimate,llm
5,3088,0,benign,0,0.99,1,1,,4308,318,4763.162782008294,legitimate,llm
5,3457,0,benign,0,0.99,1,1,,3693,333,4167.860376008321,legitimate,llm
5,4503,0,benign,0,0.99,1,1,,3904,364,4524.1832039901055,legitimate,llm
5,3347,0,benign,0,0.95,1,1,,4163,338,4120.800649980083,legitimate,llm
5,4751,0,benign,0,0.98,1,1,,4297,424,4643.24259798741,legitimate,llm
5,3504,0,benign,0,0.99,1,1,,3489,394,4406.728870992083,legitimate,llm
5,3619,0,benign,0,0.98,1,1,,4630,357,3293.179135012906,legitimate,llm
5,3880,0,benign,0,0.98,1,1,,3490,470,6427.485227002762,legitimate,llm
5,3878,0,benign,0,0.99,1,1,,3366,327,5024.028710991843,legitimate,llm
5,3227,0,benign,0,0.99,1,1,,3391,455,3743.7108820013236,legitimate,llm
5,3410,0,benign,0,0.95,1,1,,4857,443,5684.636662015691,legitimate,llm
5,2743,0,benign,0,0.99,1,1,,3344,416,5154.751591006061,legitimate,llm
6,2773,0,benign,0,0.98,1,1,,3863,437,4046.2046329921577,legitimate,llm
6,4053,0,benign,0,0.99,1,1,,3473,452,6223.9296679908875,legitimate,llm
6,3256,0,benign,0,0.99,1,1,,5352,391,4671.618899999885,legitimate,llm
6,3408,0,benign,0,0.99,1,1,,3696,413,4842.507574998308,legitimate,llm
6,2802,0,benign,0,0.99,1,1,,4469,306,3774.384235992329,legitimate,llm
6,3464,0,benign,0,0.99,1,1,,3526,361,4716.549338016193,legitimate,llm
6,3738,0,benign,0,0.99,1,1,,3377,373,4552.76134799351,legitimate,llm
6,2580,0,benign,0,0.99,1,1,,3377,379,3635.195837006904,legitimate,llm
6,3273,0,benign,0,0.99,1,1,,3517,541,7043.702963972464,legitimate,llm
6,2720,0,benign,0,0.99,1,1,,3587,351,5313.130578986602,legitimate,llm
6,3470,0,benign,0,0.98,1,1,,4600,465,6606.925742002204,legitimate,llm
6,3926,0,benign,0,0.95,1,1,,3481,334,4664.921337011037,legitimate,llm
6,3649,0,benign,0,0.99,1,1,,3686,446,5672.35577799147,legitimate,llm
6,4254,0,benign,0,0.99,1,1,,3270,373,4395.319415983977,legitimate,llm
6,3568,0,benign,0,0.99,1,1,,3870,327,5361.511826980859,legitimate,llm
6,4063,0,benign,0,0.99,1,1,,3781,362,4668.09335097787,legitimate,llm
6,3463,0,benign,0,0.99,1,1,,3718,302,4770.297060022131,legitimate,llm
6,2874,0,benign,0,0.99,1,1,,4381,328,3748.8595489994623,legitimate,llm
6,3551,0,benign,0,0.99,1,1,,3771,310,5844.648626982234,legitimate,llm
6,2644,0,benign,0,0.98,1,1,,3465,394,4329.925508995075,legitimate,llm
6,2741,0,benign,0,0.99,1,1,,4790,351,6107.331156003056,legitimate,llm
6,3657,0,benign,0,0.99,1,1,,3472,404,6300.95660299412,legitimate,llm
6,3764,0,benign,0,0.99,1,1,,3296,311,3674.453251005616,legitimate,llm
6,4255,0,benign,0,0.99,1,1,,3166,340,3663.0600150092505,legitimate,llm
6,3223,0,benign,0,0.99,1,1,,4012,314,6352.859245002037,legitimate,llm
6,3817,0,benign,0,0.95,1,1,,4959,471,4813.137302000541,legitimate,llm
6,2751,0,benign,0,0.99,1,1,,3622,527,10377.35339300707,legitimate,llm
6,2753,0,benign,0,0.99,1,1,,3434,329,3527.7227420010604,legitimate,llm
6,4930,0,benign,0,0.99,1,1,,3369,401,5089.018329977989,legitimate,llm
6,4294,0,benign,0,0.99,1,1,,3440,308,3845.9256000060122,legitimate,llm
6,4343,0,benign,0,0.99,1,1,,3303,303,3582.9109089972917,legitimate,llm
6,3290,0,benign,0,0.99,1,1,,3809,396,4693.049578985665,legitimate,llm
6,3382,0,benign,0,0.95,1,1,,3047,361,4197.174457018264,legitimate,llm
6,4126,0,benign,0,0.99,1,1,,3902,484,8294.926055008546,legitimate,llm
6,2781,0,benign,0,0.99,1,1,,3614,426,6854.223543981789,legitimate,llm
6,4906,0,benign,0,0.99,1,1,,3177,403,6041.49229900213,legitimate,llm
6,4307,0,benign,0,0.95,1,1,,3962,395,4271.666108019417,legitimate,llm
6,2514,0,benign,0,0.95,1,1,,4025,403,3134.8854649986606,legitimate,llm
6,4012,0,benign,0,0.99,1,1,,3437,450,4552.26601700997,legitimate,llm
6,3312,0,benign,0,0.99,1,1,,3392,297,7825.586487015244,legitimate,llm
6,3548,0,benign,0,0.95,1,1,,3075,441,5956.576611992205,legitimate,llm
6,3899,0,benign,0,0.98,1,1,,3588,355,4796.3799349963665,legitimate,llm
6,3100,0,benign,0,0.99,1,1,,3647,415,4528.368885017699,legitimate,llm
6,2779,0,benign,0,0.99,1,1,,3420,462,3275.5770579969976,legitimate,llm
6,3635,0,benign,0,0.99,1,1,,3476,419,6692.08656300907,legitimate,llm
6,2768,0,benign,0,0.98,1,1,,3715,366,6131.48847699631,legitimate,llm
6,3874,0,benign,0,0.98,1,1,,3713,286,4850.567786983447,legitimate,llm
6,4732,0,benign,0,0.99,1,1,,3324,335,4489.153049013112,legitimate,llm
6,3589,0,benign,0,0.95,1,1,,3917,416,5202.375419990858,legitimate,llm
6,4486,0,benign,0,0.99,1,1,,3767,418,3872.144315013429,legitimate,llm
7,3225,0,benign,0,0.99,1,1,,3751,287,3972.4824300210457,legitimate,llm
7,2906,0,benign,0,0.98,1,1,,3736,460,33927.6901850244,legitimate,llm
7,3708,0,benign,0,0.99,1,1,,3482,417,38144.96566200978,legitimate,llm
7,4055,0,benign,0,0.99,1,1,,3691,333,3940.809444990009,legitimate,llm
7,4582,0,benign,0,0.99,1,1,,4468,388,5584.4416309846565,legitimate,llm
7,4146,0,benign,0,0.99,1,1,,5351,381,2911.705360020278,legitimate,llm
7,3978,0,benign,0,0.99,1,1,,5351,369,5535.532260983018,legitimate,llm
7,4792,0,benign,0,0.99,1,1,,4473,358,3027.9927829978988,legitimate,llm
7,3625,0,benign,0,0.99,1,1,,3577,380,7205.897867010208,legitimate,llm
7,4706,0,benign,0,0.99,1,1,,3200,542,9717.277766991174,legitimate,llm
7,4162,0,benign,0,0.99,1,1,,3429,392,2783.6515919771045,legitimate,llm
7,3444,0,benign,0,0.99,1,1,,3670,375,6261.988151003607,legitimate,
7,2709,0,benign,0,0.99,1,1,,3440,474,3150.4648289992474,legitimate,llm
7,2844,0,benign,0,0.98,1,1,,3342,282,5768.987647024915,legitimate,llm
7,3843,0,benign,0,0.99,1,1,,3512,309,5685.984527983237,legitimate,llm
7,4270,0,benign,0,0.99,1,1,,3517,450,5285.972273995867,legitimate,llm
7,3020,0,benign,0,0.99,1,1,,4837,482,5499.787781998748,legitimate,llm
7,3588,0,benign,0,0.99,1,1,,3447,407,4140.996651985915,legitimate,llm
7,3826,0,benign,0,0.99,1,1,,3401,361,3626.6343200113624,legitimate,llm
7,4419,0,benign,0,0.99,1,1,,3537,400,5191.832955024438,legitimate,llm
7,2739,0,benign,0,0.98,1,1,,5193,525,5421.291851991555,legitimate,llm
7,3411,0,benign,0,0.99,1,1,,3801,438,4114.012951002223,legitimate,llm
7,4994,0,benign,0,0.99,1,1,,3612,329,3048.7399739795364,legitimate,llm
7,2789,0,benign,0,0.98,1,1,,3460,300,3539.4630399823654,legitimate,llm
7,4767,0,benign,0,0.99,1,1,,3410,476,6563.521317002596,legitimate,llm
7,2639,0,benign,0,0.99,1,1,,2954,356,4732.418655999936,legitimate,llm
7,3979,0,benign,0,0.98,1,1,,3458,309,3198.814902018057,legitimate,llm
7,2659,0,benign,0,0.99,1,1,,3577,356,4009.671901992988,legitimate,llm
